neighborhood	logFC	logCPM	F	PValue	FDR	Nhood	SpatialFDR	finalIdent	finalIdent_fraction
1817	-1.104980008	9.674638761	0.623235817	0.440276898	0.995803853	1817	0.99284724	Mixed	0.695104895
1846	-1.159251818	9.799222841	0.622703349	0.440486988	0.995803853	1846	0.99284724	CD4 Naive	0.796082949
718	1.157049309	9.584042116	0.622624392	0.440515475	0.995803853	718	0.99284724	CD8 Naive	0.998405104
497	-1.230736387	8.111844299	0.621114872	0.44106067	0.995803853	497	0.99284724	CD14 Monocytes	0.92114094
1196	-0.970867192	9.56297495	0.619559129	0.441371768	0.995803853	1196	0.99284724	CD4 Activated	0.749029754
1708	0.980268232	9.331885471	0.618054138	0.442038261	0.995803853	1708	0.99284724	CD16 NK	0.987993139
1383	-1.320953511	9.676983283	0.618268718	0.442091568	0.995803853	1383	0.99284724	CD8 Activated	0.981321839
484	-1.328944048	9.11851298	0.617476164	0.442379326	0.995803853	484	0.99284724	CD8 Activated	0.987525988
905	-0.84481417	9.143929928	0.615977897	0.442673034	0.995803853	905	0.99284724	CD4 Activated	0.953125
872	0.830530027	9.148209895	0.614338948	0.443270614	0.995803853	872	0.99284724	CD8 Activated	0.933895921
516	-1.049990798	9.460781704	0.613403152	0.443681799	0.995803853	516	0.99284724	Mixed	0.625407166
997	0.822495985	8.431662808	0.613346836	0.443752855	0.995803853	997	0.99284724	CD14 Monocytes	1
823	0.889133048	9.062692902	0.61239435	0.443981322	0.995803853	823	0.99284724	Mixed	0.633766234
1569	-0.996149874	9.835001579	0.611772149	0.444209111	0.995803853	1569	0.99284724	Mixed	0.419919246
788	0.894970974	8.486711247	0.611468402	0.444570443	0.995803853	788	0.99284724	CD14 Monocytes	0.95
2014	0.774326118	8.337960967	0.610000062	0.444858905	0.995803853	2014	0.99284724	Mixed	0.622327791
1523	-1.188232638	7.84209033	0.61051397	0.444920148	0.995803853	1523	0.99284724	CD14 Monocytes	0.75498008
