neighborhood	logFC	logCPM	F	PValue	FDR	Nhood	SpatialFDR	finalIdent	finalIdent_fraction
34	-0.41091741	9.551848237	0.119155612	0.735909121	0.987779573	34	0.984567966	CD4 Activated	0.984848485
41	0.326193894	10.09896057	0.116556292	0.738654144	0.987779573	41	0.984567966	CD4 Activated	0.828534031
649	0.445698929	9.366098656	0.11513547	0.740218141	0.987779573	649	0.984567966	CD4 Naive	0.827213823
691	-0.453964727	9.429803741	0.114267812	0.741159199	0.987779573	691	0.984567966	CD14 Monocytes	0.995545657
603	-0.362660375	9.789512059	0.114001135	0.741418074	0.987779573	603	0.984567966	CD16 NK	0.993265993
669	-0.424155423	9.242535317	0.112831277	0.742726116	0.987779573	669	0.984567966	CD14 Monocytes	0.972010178
269	-0.41056944	9.513734644	0.112071088	0.743559829	0.987779573	269	0.984567966	CD14 Monocytes	0.800884956
631	-0.380942156	9.388869116	0.109712493	0.746136357	0.987779573	631	0.984567966	CD4 Naive	0.971014493
878	0.402811846	9.561449295	0.109531615	0.746337604	0.987779573	878	0.984567966	CD4 Naive	0.703910615
572	-0.486009446	10.18243517	0.109645799	0.746389922	0.987779573	572	0.984567966	CD8 Activated	0.969205835
148	-0.404193092	9.285257518	0.108571024	0.74743985	0.987779573	148	0.984567966	CD14 Monocytes	0.922705314
584	-0.440992829	9.69884528	0.108121442	0.747943276	0.987779573	584	0.984567966	CD8 Activated	0.830508475
1021	-0.473503984	9.154155639	0.108140447	0.748069727	0.987779573	1021	0.984567966	Mixed	0.51147541
594	-0.350479116	10.26805769	0.107796212	0.748308184	0.987779573	594	0.984567966	Mixed	0.676190476
1204	-0.346519486	9.067982924	0.107139206	0.749017091	0.987779573	1204	0.984567966	Mixed	0.272435897
1202	0.449355715	9.903054767	0.106739146	0.749645193	0.987779573	1202	0.984567966	CD8 Activated	0.963414634
1205	-0.429998665	9.428870376	0.104442662	0.752107225	0.987779573	1205	0.984567966	CD16 Monocytes	0.863529412
482	0.388204663	10.02511917	0.10396959	0.752648576	0.987779573	482	0.984567966	CD8 Activated	0.900273224
779	0.369119598	9.371014583	0.102508997	0.754299245	0.987779573	779	0.984567966	Mixed	0.609341826
929	0.353595335	8.927414011	0.101788926	0.755161844	0.987779573	929	0.984567966	CD4 Activated	0.965944272
297	0.420712407	9.301813629	0.10176516	0.755189399	0.987779573	297	0.984567966	CD16 Monocytes	1
924	-0.329364965	9.149705202	0.101331269	0.755663848	0.987779573	924	0.984567966	CD4 Activated	0.979827089
157	0.446088683	10.03422531	0.099255293	0.758260785	0.987779573	157	0.984567966	CD14 Monocytes	0.912687585
359	0.422914248	9.950935613	0.099059929	0.758490438	0.987779573	359	0.984567966	CD8 Activated	0.800582242
135	0.447105243	9.362457705	0.098886381	0.758553872	0.987779573	135	0.984567966	CD4 Naive	0.815789474
765	-0.386743274	9.543813782	0.09864545	0.758837896	0.987779573	765	0.984567966	CD4 Activated	0.949152542
136	-0.400499519	9.556758271	0.097359805	0.760360019	0.987779573	136	0.984567966	CD14 Monocytes	0.903361345
1150	0.437135563	9.460909795	0.097129001	0.76063445	0.987779573	1150	0.984567966	Intermediate Monocytes	0.724425887
229	-0.391704209	10.07346883	0.096911049	0.761033194	0.987779573	229	0.984567966	CD8 Activated	0.974006116
954	-0.356668353	9.555183368	0.096246722	0.761658389	0.987779573	954	0.984567966	Mixed	0.472972973
523	0.382882345	9.817966539	0.095912258	0.762087169	0.987779573	523	0.984567966	Mixed	0.443037975
60	0.458529098	9.569696307	0.095751385	0.762418367	0.987779573	60	0.984567966	CD8 Activated	0.945533769
1035	0.374827247	9.10757088	0.095240736	0.762893283	0.987779573	1035	0.984567966	CD8 Activated	0.923497268
329	-0.342944422	9.547080523	0.094807296	0.76338705	0.987779573	329	0.984567966	CD4 Naive	0.727459016
1055	-0.428776808	9.723208844	0.094485121	0.763941477	0.987779573	1055	0.984567966	CD8 Activated	0.888888889
1129	0.381741967	9.260160872	0.094016841	0.764370577	0.987779573	1129	0.984567966	CD8 Activated	0.980148883
600	-0.380088931	9.592174922	0.093797585	0.764636345	0.987779573	600	0.984567966	Activated B Cells	0.966228893
205	0.316870626	9.964236123	0.092788498	0.765836036	0.987779573	205	0.984567966	CD4 Activated	0.722701149
868	0.359456582	9.60867831	0.090849998	0.768215343	0.987779573	868	0.984567966	Mixed	0.492424242
156	0.330442185	10.00271041	0.090848881	0.768216722	0.987779573	156	0.984567966	CD4 Activated	0.880512091
115	0.361232663	9.313816034	0.089982994	0.769288519	0.987779573	115	0.984567966	Mixed	0.534161491
1132	-0.373331085	9.853401288	0.089894311	0.769426027	0.987779573	1132	0.984567966	CD8 Activated	0.701388889
