neighborhood	logFC	logCPM	F	PValue	FDR	Nhood	SpatialFDR	finalIdent	finalIdent_fraction
235	-2.430821106	8.453687679	6.048152927	0.023641497	0.685330762	235	0.670959263	CD4 Activated	0.884691849
1274	-4.106486621	8.629811606	6.052562157	0.02388332	0.685330762	1274	0.670959263	GDT	0.877192982
1088	-2.645222051	8.551617252	6.046802695	0.023941692	0.685330762	1088	0.670959263	CD4 Activated	0.967576792
1606	-2.536926203	7.971345418	5.984871877	0.024453478	0.685330762	1606	0.670959263	CD4 Activated	0.983651226
1996	-2.70948416	8.649645129	5.959033401	0.024851542	0.685330762	1996	0.670959263	CD4 Activated	0.932917317
1351	2.219625581	8.331528687	5.918371365	0.024992763	0.685330762	1351	0.670959263	CD8 Activated	0.974576271
2590	-3.556965366	8.194719736	5.936213228	0.02509448	0.685330762	2590	0.670959263	CD4 Activated	0.930735931
1382	-3.631084387	8.977399125	5.917795204	0.025292517	0.685330762	1382	0.670959263	CD16 Monocytes	1
2323	-2.166894783	8.891638146	5.880232234	0.025406309	0.685330762	2323	0.670959263	CD4 Activated	0.987197724
1636	-3.674092172	8.344410447	5.875591457	0.025753025	0.685330762	1636	0.670959263	CD4 Activated	0.97495183
340	-2.467466171	8.354933903	5.834694479	0.025910253	0.685330762	340	0.670959263	CD4 Activated	0.928571429
2385	-2.311866182	7.872632683	5.828194573	0.025983103	0.685330762	2385	0.670959263	CD4 Activated	0.982857143
1644	-3.401385692	8.354965532	5.823844006	0.026330699	0.685330762	1644	0.670959263	CD4 Activated	0.971209213
1287	-2.147639524	8.773479334	5.780386649	0.026526101	0.685330762	1287	0.670959263	Activated B Cells	0.962662338
617	-2.270698849	8.635939204	5.765549379	0.026697224	0.685330762	617	0.670959263	Activated B Cells	0.954261954
191	-2.324906432	8.772289075	5.73071306	0.027103938	0.685330762	191	0.670959263	CD4 Activated	0.971385542
1658	2.721052486	7.343948259	5.736792336	0.027335966	0.685330762	1658	0.670959263	MAIT	0.909774436
335	2.607392528	9.196911067	5.720943979	0.02752363	0.685330762	335	0.670959263	CD4 Naive	0.88700565
147	-2.549555651	8.191173627	5.692414559	0.027762596	0.685330762	147	0.670959263	CD4 Activated	0.937360179
1729	2.141361588	8.574504888	5.672150279	0.027803568	0.685330762	1729	0.670959263	CD8 Activated	0.955357143
1601	2.596549175	8.781749368	5.653692177	0.028336417	0.685330762	1601	0.670959263	CD4 Naive	0.853846154
692	-3.736048837	8.339809466	5.611361801	0.028861978	0.685330762	692	0.670959263	CD4 Activated	0.953578337
1125	2.123239169	8.104398385	5.583592108	0.028900752	0.685330762	1125	0.670959263	CD8 Activated	0.932835821
1711	-3.65365225	8.949822805	5.598597042	0.029022628	0.685330762	1711	0.670959263	CD4 Activated	0.974968711
671	-3.780208464	8.799031234	5.588300981	0.029152948	0.685330762	671	0.670959263	GDT	0.906796117
705	-3.547388802	9.119503766	5.580305449	0.029254609	0.685330762	705	0.670959263	CD16 Monocytes	0.996557659
738	2.139046942	8.653016845	5.539400328	0.029466558	0.685330762	738	0.670959263	CD8 Activated	0.922010399
1534	2.138317953	8.834761975	5.538262079	0.029481297	0.685330762	1534	0.670959263	CD8 Activated	0.988489209
1793	-3.737718269	8.835061245	5.549437436	0.029650883	0.685330762	1793	0.670959263	CD16 Monocytes	0.974413646
2418	-2.189168285	8.533765746	5.499685998	0.029985771	0.685330762	2418	0.670959263	CD4 Activated	0.951374207
1185	-3.201694104	7.985861957	5.465163697	0.030764196	0.685330762	1185	0.670959263	Mixed	0.689655172
2315	-3.589276304	8.759861582	5.464211158	0.030777049	0.685330762	2315	0.670959263	CD16 Monocytes	1
2617	-2.078006443	8.6559001	5.440341586	0.030781074	0.685330762	2617	0.670959263	CD4 Activated	0.968028419
476	-2.159361213	8.610058776	5.427655114	0.030954181	0.685330762	476	0.670959263	CD4 Activated	0.875213675
461	-3.13181466	8.823599495	5.440707054	0.031096129	0.685330762	461	0.670959263	CD16 Monocytes	1
722	-2.047767003	8.755019409	5.389384537	0.03148311	0.685330762	722	0.670959263	CD4 Activated	0.945249597
2426	-2.746880829	7.933635247	5.404952839	0.031588751	0.685330762	2426	0.670959263	CD4 Naive	0.971279373
2352	-3.566301459	8.885498195	5.4044273	0.031596058	0.685330762	2352	0.670959263	GDT	0.903107861
793	-2.077145132	8.787258651	5.359336709	0.031905589	0.685330762	793	0.670959263	CD4 Activated	0.964071856
62	-2.522956884	8.703135038	5.378714423	0.031955915	0.685330762	62	0.670959263	CD4 Activated	0.963133641
159	-3.750681905	9.006137348	5.339348063	0.032515929	0.685330762	159	0.670959263	CD16 Monocytes	0.996240602
1969	-3.348774755	8.891544364	5.33040563	0.032644693	0.685330762	1969	0.670959263	CD16 Monocytes	0.989959839
1505	-2.085958898	8.755909149	5.300271869	0.032754952	0.685330762	1505	0.670959263	Activated B Cells	0.882562278
1974	-2.440831499	8.237693986	5.302201646	0.032911961	0.685330762	1974	0.670959263	Activated B Cells	0.866666667
431	-2.53809803	8.643673285	5.306044521	0.032998428	0.685330762	431	0.670959263	CD4 Activated	0.879365079
707	-3.485453324	8.560762785	5.286187787	0.033289988	0.685330762	707	0.670959263	CD4 Activated	0.97044335
1901	-2.181771461	9.138397477	5.245022316	0.033572765	0.685330762	1901	0.670959263	Activated B Cells	0.98199446
2629	-2.775344356	8.744398489	5.249768493	0.033832396	0.685330762	2629	0.670959263	CD14 Monocytes	0.952688172
1503	-2.888380467	8.040882962	5.243164669	0.033931824	0.685330762	1503	0.670959263	CD4 Naive	0.978365385
2514	-2.338889456	8.005577915	5.221175559	0.034060457	0.685330762	2514	0.670959263	CD4 Naive	0.971867008
