Cluster	cellType	Time	Pathway	nlp	GeneRatio
CD4-Activated:NLR:pre:HIF-1 signaling pathway	CD4-Activated	pre	HIF-1 signaling pathway	-1.1835059717413	-0.0382513661202186
CD4-Activated:NLR:pre:Lysosome	CD4-Activated	pre	Lysosome	-1.21134399016007	-0.0437158469945355
CD4-Activated:NLR:pre:Mitophagy - animal	CD4-Activated	pre	Mitophagy - animal	0.826834419566617	0.0257731958762887
CD4-Activated:NLR:pre:NF-kappa B signaling pathway	CD4-Activated	pre	NF-kappa B signaling pathway	1.05253617147063	0.0360824742268041
CD4-Activated:NLR:pre:NOD-like receptor signaling pathway	CD4-Activated	pre	NOD-like receptor signaling pathway	2.83286618998759	0.077319587628866
CD4-Activated:NLR:pre:Natural killer cell mediated cytotoxicity	CD4-Activated	pre	Natural killer cell mediated cytotoxicity	1.25977921594898	0.0463917525773196
CD4-Activated:NLR:pre:Nucleotide metabolism	CD4-Activated	pre	Nucleotide metabolism	-1.45649005402892	-0.0382513661202186
CD4-Activated:NLR:pre:Oxidative phosphorylation	CD4-Activated	pre	Oxidative phosphorylation	2.51791096601614	0.0618556701030928
CD4-Activated:NLR:pre:PD-L1 expression and PD-1 checkpoint pathway in cancer	CD4-Activated	pre	PD-L1 expression and PD-1 checkpoint pathway in cancer	-3.05513810673364	-0.0601092896174863
CD4-Activated:NLR:pre:Phosphatidylinositol signaling system	CD4-Activated	pre	Phosphatidylinositol signaling system	0.826834419566617	0.0309278350515464
CD4-Activated:NLR:pre:Ribosome	CD4-Activated	pre	Ribosome	15.2270543681646	0.149484536082474
CD4-Activated:NLR:pre:T cell receptor signaling pathway	CD4-Activated	pre	T cell receptor signaling pathway	-2.71871601421714	-0.0601092896174863
CD4-Activated:NLR:pre:TNF signaling pathway	CD4-Activated	pre	TNF signaling pathway	-2.69413004698565	-0.0601092896174863
CD4-Activated:NLR:pre:Th1 and Th2 cell differentiation	CD4-Activated	pre	Th1 and Th2 cell differentiation	-1.75915585725073	-0.0437158469945355
CD4-Activated:NLR:pre:Toll-like receptor signaling pathway	CD4-Activated	pre	Toll-like receptor signaling pathway	-0.729398221926742	-0.0273224043715847
CD4-Naive:NLR:post:Antigen processing and presentation	CD4-Naive	post	Antigen processing and presentation	4.01061167595957	0.0341880341880342
CD4-Naive:NLR:post:Apoptosis	CD4-Naive	post	Apoptosis	5.30826627549651	0.0534188034188034
CD4-Naive:NLR:post:Cell adhesion molecules	CD4-Naive	post	Cell adhesion molecules	0.75243951910233	0.0299145299145299
CD4-Naive:NLR:post:Fatty acid metabolism	CD4-Naive	post	Fatty acid metabolism	0.895168043154572	0.014957264957265
CD4-Naive:NLR:post:Graft-versus-host disease	CD4-Naive	post	Graft-versus-host disease	1.92231100181522	0.0170940170940171
CD4-Naive:NLR:post:Leukocyte transendothelial migration	CD4-Naive	post	Leukocyte transendothelial migration	3.10801360621507	0.0384615384615385
CD4-Naive:NLR:post:Lysine degradation	CD4-Naive	post	Lysine degradation	-2.23746938405612	-0.0298850574712644
CD4-Naive:NLR:post:Lysosome	CD4-Naive	post	Lysosome	0.914597626547942	0.0277777777777778
CD4-Naive:NLR:post:NF-kappa B signaling pathway	CD4-Naive	post	NF-kappa B signaling pathway	0.940250152188216	0.0235042735042735
CD4-Naive:NLR:post:NOD-like receptor signaling pathway	CD4-Naive	post	NOD-like receptor signaling pathway	4.97581466015179	0.061965811965812
CD4-Naive:NLR:post:Natural killer cell mediated cytotoxicity	CD4-Naive	post	Natural killer cell mediated cytotoxicity	1.78277275745478	0.0341880341880342
CD4-Naive:NLR:post:Oxidative phosphorylation	CD4-Naive	post	Oxidative phosphorylation	2.80778267071338	0.0405982905982906
CD4-Naive:NLR:post:RNA degradation	CD4-Naive	post	RNA degradation	-1.47543505155424	-0.0298850574712644
CD4-Naive:NLR:post:Ribosome	CD4-Naive	post	Ribosome	3.0763676859159	0.047008547008547
CD4-Naive:NLR:post:TNF signaling pathway	CD4-Naive	post	TNF signaling pathway	1.02717763875976	0.0256410256410256
CD4-Naive:NLR:post:Th1 and Th2 cell differentiation	CD4-Naive	post	Th1 and Th2 cell differentiation	1.94573506973518	0.0277777777777778
CD4-Naive:NLR:pre:Cellular senescence	CD4-Naive	pre	Cellular senescence	-0.823887205492824	-0.049079754601227
CD4-Naive:NLR:pre:Ferroptosis	CD4-Naive	pre	Ferroptosis	-0.885494101762394	-0.0245398773006135
CD4-Naive:NLR:pre:HIF-1 signaling pathway	CD4-Naive	pre	HIF-1 signaling pathway	0.714956649577901	0.0359712230215827
CD4-Naive:NLR:pre:Lysosome	CD4-Naive	pre	Lysosome	-1.00781001951004	-0.049079754601227
CD4-Naive:NLR:pre:NOD-like receptor signaling pathway	CD4-Naive	pre	NOD-like receptor signaling pathway	1.66547572241759	0.0719424460431655
CD4-Naive:NLR:pre:Nucleotide metabolism	CD4-Naive	pre	Nucleotide metabolism	-1.96244127780938	-0.049079754601227
CD4-Naive:NLR:pre:Oxidative phosphorylation	CD4-Naive	pre	Oxidative phosphorylation	1.75513090524716	0.0647482014388489
CD4-Naive:NLR:pre:PD-L1 expression and PD-1 checkpoint pathway in cancer	CD4-Naive	pre	PD-L1 expression and PD-1 checkpoint pathway in cancer	-0.885494101762394	-0.0368098159509202
CD4-Naive:NLR:pre:Phosphatidylinositol signaling system	CD4-Naive	pre	Phosphatidylinositol signaling system	0.83025185304469	0.0359712230215827
CD4-Naive:NLR:pre:Ribosome	CD4-Naive	pre	Ribosome	10.5037811364447	0.151079136690647
CD4-Naive:NLR:pre:T cell receptor signaling pathway	CD4-Naive	pre	T cell receptor signaling pathway	-1.5709886010612	-0.049079754601227
CD4-Naive:NLR:pre:Th1 and Th2 cell differentiation	CD4-Naive	pre	Th1 and Th2 cell differentiation	1.28985084007261	0.0431654676258993
CD56-NK:NLR:post:Antigen processing and presentation	CD56-NK	post	Antigen processing and presentation	1.244558418762	0.107142857142857
CD56-NK:NLR:post:Apoptosis	CD56-NK	post	Apoptosis	-0.787533103203727	-0.0555555555555556
CD56-NK:NLR:post:Cellular senescence	CD56-NK	post	Cellular senescence	-1.47505515922881	-0.0925925925925926
CD56-NK:NLR:post:Ferroptosis	CD56-NK	post	Ferroptosis	-0.896430901265222	-0.037037037037037
CD56-NK:NLR:post:Graft-versus-host disease	CD56-NK	post	Graft-versus-host disease	0.982770940274818	0.0714285714285714
CD56-NK:NLR:post:NF-kappa B signaling pathway	CD56-NK	post	NF-kappa B signaling pathway	-2.1032669135192	-0.0925925925925926
CD56-NK:NLR:post:Natural killer cell mediated cytotoxicity	CD56-NK	post	Natural killer cell mediated cytotoxicity	0.982770940274818	0.107142857142857
CD56-NK:NLR:post:Oxidative phosphorylation	CD56-NK	post	Oxidative phosphorylation	-0.787533103203727	-0.0555555555555556
CD56-NK:NLR:post:PD-L1 expression and PD-1 checkpoint pathway in cancer	CD56-NK	post	PD-L1 expression and PD-1 checkpoint pathway in cancer	-1.55372018769581	-0.0740740740740741
CD56-NK:NLR:post:Ribosome	CD56-NK	post	Ribosome	-15.715017196772	-0.333333333333333
CD56-NK:NLR:post:T cell receptor signaling pathway	CD56-NK	post	T cell receptor signaling pathway	-2.1032669135192	-0.0925925925925926
CD56-NK:NLR:post:TNF signaling pathway	CD56-NK	post	TNF signaling pathway	-2.53650878829328	-0.111111111111111
CD56-NK:NLR:post:Th1 and Th2 cell differentiation	CD56-NK	post	Th1 and Th2 cell differentiation	-0.938800612171972	-0.0555555555555556
CD56-NK:NLR:post:Toll-like receptor signaling pathway	CD56-NK	post	Toll-like receptor signaling pathway	-2.1032669135192	-0.0925925925925926
CD56-NK:NLR:pre:Ferroptosis	CD56-NK	pre	Ferroptosis	-2.17657846676557	-0.142857142857143
CD56-NK:NLR:pre:Ribosome	CD56-NK	pre	Ribosome	32.7922839901643	0.91304347826087
CD8-Activated:NLR:post:Antigen processing and presentation	CD8-Activated	post	Antigen processing and presentation	1.43134663997943	0.0225988700564972
CD8-Activated:NLR:post:Apoptosis	CD8-Activated	post	Apoptosis	2.11947341690476	0.0376647834274953
CD8-Activated:NLR:post:Fatty acid metabolism	CD8-Activated	post	Fatty acid metabolism	2.31489548364551	0.0225988700564972
CD8-Activated:NLR:post:Ferroptosis	CD8-Activated	post	Ferroptosis	0.769105760866553	0.0112994350282486
CD8-Activated:NLR:post:Graft-versus-host disease	CD8-Activated	post	Graft-versus-host disease	0.738282439714941	0.0112994350282486
CD8-Activated:NLR:post:Leukocyte transendothelial migration	CD8-Activated	post	Leukocyte transendothelial migration	0.852202958174628	0.0244821092278719
CD8-Activated:NLR:post:Lysosome	CD8-Activated	post	Lysosome	2.53686193227111	0.0395480225988701
