pre_up	pre_down	post_up	post_down
		FUBP1	IKZF1
		TPST2	SLC10A3
		RBM3	THAP4
		NCR1	DUSP22
		TES	EIF4A1
		SLC25A3	RHOT2
		PSMB9	RPL26
		RHEB	CCDC88C
		PSMD4	CMIP
		AATF	ITGB1
		AIP	CLASRP
		C4orf3	HMG20B
		MGAT1	REEP4
		FERMT3	ZNF493
		TUBA1B	PRPF4B
		BAX	ZFYVE28
		PPIB	OGDH
		PTRHD1	ZNF394
		CD53	PCYT1A
		ACTB	UIMC1
		ASNA1	UTP23
		RBX1	RNF44
		SPN	SPG7
		ETFA	BANP
		TPT1	CFDP1
		PTPN2	CALCOCO1
		XBP1	DUSP12
		TRAPPC2L	SSH2
		GZMB	AUP1
		EIF3E	LLGL2
		HNRNPR	ABTB1
		PPP1R18	RPL38
		CFL1	PACS1
		DEF6	CCDC69
		SSR4	SUCLA2
		HLA-A	ARID4A
		AP1M1	LATS1
		MPG	SRP19
		MT-ATP6	SQSTM1
		MYL12A	C1orf21
		TMEM179B	SRPK2
		PSMB10	LINC00623
		ADSS	RPS14
		PUF60	TBRG1
		EIF3I	TAF1D
		TMED9	MAST3
		NDUFAB1	S100A4
		RPL10A	PREX1
		CD48	CCDC59
		RPS6KA1	UBE2B
		HSP90AA1	KLC1
		PDLIM2	MAPKAPK5-AS1
		BUB3	RPP21
		SH3BP5	ADHFE1
		SRI	SEPT9
		XRCC5	JADE2
		LIMD2	TSPO
		EIF4G2	EPC1
		RAB8A	LITAF
		PSMC5	SYF2
		ARPC5	SUN2
		RIPOR2	CYTH1
		MT-CO1	MED10
		HSP90AB1	DNAJB6
		SEPT7	TNIP2
		ADD3	ROMO1
		ACTN4	KLF2
		VDAC1	ANKRD13D
		NDUFS6	SARAF
		RPS18	AC116366.3
		TRIM22	FAU
		GZMM	UBQLN2
		SEPT1	RPL14
		M6PR	KLF6
		RARRES3	RPAP2
		IGF2R	LPP
		ENO1	NADSYN1
		GDI2	RNF216
		GAPDH	ADIPOR1
		TUBB	POLR2J
		WDR1	SRRT
		SNRPD3	COMTD1
		TMED10	CCM2
		SEC11A	ARNTL
		PSMB3	FMNL1
		PPP2R1A	RNASEH2C
		ATP5F1C	CCDC88B
		HNRNPC	KRT10
		PRELID1	MECP2
		VAMP8	MIIP
		HCLS1	SAFB2
		CALM2	PMPCB
		APMAP	MFSD10
		SLC25A5	VPS16
		LMAN2	TFDP2
		ARHGAP30	ERICH1
		EMP3	RSAD1
		ZNHIT1	PTPN1
		TRAPPC1	MED30
		PFN1	C19orf66
		BCAP31	C12orf57
		NUCKS1	MMP24OS
		ARPC3	CYTIP
		MTDH	DDX39A
		NPM1	APPL1
		RPL27	TUT4
		TLN1	AKAP17A
		RPS3A	ZBTB7A
		CAPZB	KIAA1109
		CD7	NAA38
		CUTA	CEP78
		SRGN	MOAP1
		BRK1	PRSS23
		STK17A	ATP5F1E
		RPS19	LRRFIP2
		RPSA	ANKRD12
		CALM1	MAP4K5
		HNRNPA1	BRD4
		PSMA7	SPEN
		RPS11	RASSF1
		YWHAZ	EPB41L4A-AS1
		TMBIM6	SRRM1
		HNRNPA2B1	ERN1
		NKG7	HNRNPDL
		JCHAIN	SMIM10L1
		ARHGDIB	SMCHD1
			ARGLU1
			DDX5
			COX17
			TSPAN32
			C1orf174
			RPL35A
			EPN1
			PHF3
			TMX4
			PSIP1
			ZNF655
			BAG1
			NME3
			NSD3
			MAP1LC3B
			DGKZ
			SUGT1
			PNISR
			UBR2
			PIK3R5
			FAM133B
			TOMM20
			RTF1
			RPS27
			VPS28
			PARP8
			MIB2
			DPM3
			ILF3
			MAPK1
			NFATC2
			CMPK1
			HNRNPH1
			RBBP6
			CDC37
			SON
			RPL30
			ATOX1
			NUCB2
			FGD3
			RPL37
			RSRP1
			PTMA
			PCBP2
			RABL6
			PAXX
			TRA2B
			DENR
			S100A10
			CHST11
			TGFBR3
			CSGALNACT1
			TGFBR2
			CTBP1
			ISCU
			IGLV2-11
			NSD1
			RPL41
			ATP5MPL
			NDUFV1
			RWDD1
			TUFM
			ELOB
			SAT2
			PITHD1
			PNRC1
			MT-ND6
			ZNF276
			GLIPR2
			RPS15A
			RNPEPL1
			RSL24D1
			STUB1
			ITGA4
			CWC15
			HPS1
			YY1
			NDUFA1
			HMGN3
			DAZAP2
			ATP6V1G1
			PSMD7
			CST7
			COPS9
			RPLP2
			RPL12
			CCNI
			RBM25
			FCRL6
			AES
			SRP14
			H2AFV
			STRAP
			YBX1
			SELENOW
			EEF1D
			RPL37A
			HNRNPA0
			KMT2E
			SEPT2
			SRSF11
			CAST
			SERF2
			COMMD6
			RPL11
			UBL5
			GRB2
			RPL22
			SOD1
			RPS12
			SIGIRR
			WIPF1
			RPL36AL
			RPS27A
			GTF3A
			PXN
			KRTCAP2
			RPL28
			SYNE2
			SPCS1
			RPS7
			TMSB10
			RPL32
			PFDN5
			OST4
			RPS15
			B2M
