"gene"	"log2FC"	"pval"	"adjp"
"TSEN54"	"0.303471316551953"	"6.01471479581198e-17"	2.57141909475654e-15
"MGST2"	"-1.68809336720443"	"6.66778845369252e-17"	2.8264642241839e-15
"TENT4A"	"-0.862670481529856"	"6.86154001946718e-17"	2.88415320818276e-15
"ANXA2R"	"0.277133787145151"	"7.26543661081444e-17"	3.02847616060782e-15
"CTSD"	"-0.473210071185811"	"7.60535896917124e-17"	3.14396740196649e-15
"ZBTB16"	"-3.9723819269736"	"7.78144791297853e-17"	3.1903936443212e-15
"NEIL1"	"-1.27739040740535"	"8.81860986266113e-17"	3.58623467748219e-15
"ZFP90"	"-0.46353943517199"	"1.01723187446646e-16"	4.03824907625495e-15
"ABHD3"	"-0.365683547416617"	"1.01723187446646e-16"	4.03824907625495e-15
"KLRD1"	"0.467464407121306"	"1.26239432931262e-16"	4.93320034001697e-15
"KMT2E-AS1"	"-0.458944326981162"	"1.26239432931262e-16"	4.93320034001697e-15
"CHRM3-AS2"	"-1.82782953440096"	"1.28607810009326e-16"	4.9867927571058e-15
"PIP4P2"	"-0.737534250282764"	"1.71383178489134e-16"	6.59429737540499e-15
"BTG2"	"-0.699504081341445"	"1.90787077637736e-16"	7.28486230796913e-15
"ACCS"	"-1.04819396617675"	"1.98467781972761e-16"	7.52072610172538e-15
"HLA-DQA2"	"1.29039411739625"	"2.15971438232259e-16"	8.12247469201323e-15
"ERAP2"	"0.695194311381067"	"2.40339218800934e-16"	8.97146845106173e-15
"LBH"	"0.244594451644155"	"2.57105520955856e-16"	9.52623567274957e-15
"NEAT1"	"-0.255024375757351"	"2.67412886864352e-16"	9.83528867717271e-15
"C1orf174"	"0.339981876694984"	"2.81265576559458e-16"	1.02692730945285e-14
"PDGFD"	"0.478420614794806"	"3.05941540298707e-16"	1.10892723519865e-14
"PRMT2"	"0.297746149615839"	"3.11126883895319e-16"	1.119609117442e-14
"LAT2"	"-1.8940130047199"	"3.17900048189683e-16"	1.13581145788914e-14
"AKR1C3"	"-2.20192098276042"	"3.69091428168398e-16"	1.30935838560165e-14
"SRGAP2"	"-0.780296890444021"	"3.84804617954015e-16"	1.3554878162014e-14
"NUP58"	"-0.387364358529696"	"4.1146207845004e-16"	1.43925406741755e-14
"GSTM4"	"-0.445536434704833"	"4.97275654928607e-16"	1.71542953513993e-14
"SH2D2A"	"0.361063700317293"	"5.71404494033943e-16"	1.93514337556954e-14
"AMFR"	"0.305640336525369"	"5.71404494033943e-16"	1.93514337556954e-14
"ARAP3"	"-4.31926613571745"	"8.92508159108001e-16"	2.99619182003907e-14
"NAALADL1"	"-0.92784227051816"	"1.12736767328875e-15"	3.75939540119355e-14
"CAPN12"	"-1.10804182168421"	"1.18453039705457e-15"	3.89804016188616e-14
"IRF5"	"-1.43648956276476"	"1.41151156372861e-15"	4.55508441404549e-14
"STX3"	"-1.39247681940393"	"1.61874821004422e-15"	5.19037086323153e-14
"TIAM1"	"-3.06245002431311"	"1.74643126539339e-15"	5.4941189871055e-14
"SLAMF1"	"-1.5025672115755"	"2.12659508387763e-15"	6.60697429164963e-14
"HLA-DRB5"	"0.456226326492841"	"2.22124709147718e-15"	6.81636684145328e-14
"HDAC4"	"-0.511290533985425"	"2.37104684175586e-15"	7.23169286735537e-14
"PLEK"	"0.275617353251613"	"2.54456510128623e-15"	7.71388765856589e-14
"CD40LG"	"-1.83422051532857"	"2.74607874357988e-15"	8.27463004541359e-14
"CREB3L2"	"-0.504760667025462"	"2.79045568248439e-15"	8.35799959508199e-14
"KCNK6"	"-1.10327189460502"	"2.83613044160966e-15"	8.44424075531638e-14
"CPQ"	"-0.472269881543766"	"2.94587534035556e-15"	8.66780497203442e-14
"SMIM4"	"-0.520380137624199"	"2.92995750187148e-15"	8.66780497203442e-14
"CCL3L1"	"-1.66032399094928"	"3.03853118100101e-15"	8.88814793413278e-14
"ETV3"	"-0.620049238392566"	"3.33641776378196e-15"	9.64668303724703e-14
"MAPK7"	"0.466595941103568"	"3.37269395813852e-15"	9.69552596471774e-14
"TTN"	"-1.81591884029211"	"3.55022343038594e-15"	1.01475529135946e-13
"VCAN"	"-0.869464119627182"	"3.63773125733332e-15"	1.03385975847621e-13
"NR4A2"	"-0.798006550979499"	"3.98724442914098e-15"	1.12046048508782e-13
"NDUFB1"	"-0.287861813169225"	"3.96579957496309e-15"	1.12046048508782e-13
"PPM1F"	"-0.745092676260355"	"4.25365577528192e-15"	1.1886472730704e-13
"APP"	"-2.25271143632211"	"4.28380501361967e-15"	1.19042181545142e-13
"RAB27A"	"0.333961863030759"	"4.76269150227171e-15"	1.31618690024105e-13
"QKI"	"-0.468798356461522"	"4.91883481581509e-15"	1.35186877740149e-13
"FCRL6"	"0.356934856130846"	"5.08001494176852e-15"	1.38853741741673e-13
"JCHAIN"	"-0.918259190921839"	"5.24639161966422e-15"	1.42614800889997e-13
"ZNF84"	"-0.434500727448507"	"5.27463777781877e-15"	1.42614800889997e-13
"CD82"	"-1.10333518449996"	"5.50606188568003e-15"	1.48071621248234e-13
"LINC01089"	"-0.467825854178616"	"5.62549343197014e-15"	1.50474428592057e-13
"ITM2C"	"-1.31772585760191"	"6.22846840086672e-15"	1.63972626005975e-13
"IL3RA"	"1.89757142721701"	"6.22313647344582e-15"	1.63972626005975e-13
"BORCS7"	"0.413769840683595"	"6.19526418415816e-15"	1.63972626005975e-13
