"gene"	"log2FC"	"pval"	"adjp"
"TFEB"	"-0.289341714915745"	"7.7736680309334e-06"	1.34919803923417e-05
"CAND1"	"-0.0875793636724538"	"7.78568382170291e-06"	1.35081479279077e-05
"ZNF143"	"-0.14127063489961"	"7.91900675461662e-06"	1.37346989551291e-05
"PPP1R13B"	"0.223886320504526"	"8.02970982905691e-06"	1.39218747192176e-05
"CDC42EP3"	"0.121414352366196"	"8.20486022203113e-06"	1.42206205234233e-05
"SLC25A37"	"-0.174003008991538"	"8.29379909987442e-06"	1.43697897809393e-05
"ZNF519"	"-0.231109504737407"	"8.3065796316802e-06"	1.43869499022384e-05
"CPEB4"	"-0.127543447837785"	"8.69886779114687e-06"	1.50559642530507e-05
"SRP54"	"-0.0763321068096731"	"8.69886779114687e-06"	1.50559642530507e-05
"CFD"	"-0.253441767864405"	"8.72564034378599e-06"	1.50918578836852e-05
"MPP7"	"0.174523950589561"	"8.72564034378599e-06"	1.50918578836852e-05
"DIP2A"	"-0.095393012523472"	"8.94267365075608e-06"	1.54618920155831e-05
"ZNF75A"	"-0.171824728202869"	"8.95640812411087e-06"	1.54802879878378e-05
"CTLA4"	"-0.363407507125064"	"9.01523161665515e-06"	1.557657635458e-05
"AHDC1"	"0.141408465283248"	"9.15081981407911e-06"	1.58053869855054e-05
"NBPF11"	"-0.147344005280073"	"9.16485957186321e-06"	1.58241724468277e-05
"JAKMIP1"	"0.115870079800524"	"9.37794159838425e-06"	1.61864954710552e-05
"TLE1"	"-0.728930553677163"	"9.39567631050888e-06"	1.62115118679425e-05
"NPRL3"	"-0.0683576756823765"	"9.50805398111381e-06"	1.63997537977694e-05
"RNF144B"	"-0.711381860181493"	"9.51538368561106e-06"	1.64067387781546e-05
"PCSK5"	"-0.835685392802176"	"9.52139691764949e-06"	1.64114498215309e-05
"CD3E"	"-0.0162783784619758"	"9.61044293508017e-06"	1.65592268554154e-05
"OTUD4"	"0.101092943881472"	"9.62515563001926e-06"	1.65788665500538e-05
"POLR3F"	"0.149703243218077"	"9.72874857911689e-06"	1.67515319768477e-05
"GCHFR"	"-0.265619174113035"	"9.80339467730472e-06"	1.68742533296209e-05
"NEPRO"	"-0.109809206593515"	"9.84844459996804e-06"	1.69459648741108e-05
"TMEM91"	"-0.266386160407367"	"9.92396754208353e-06"	1.70700432068438e-05
"PKD2"	"-0.265695078869705"	"1.00153253446423e-05"	1.72212641367827e-05
"SLC35D1"	"-0.204143663720431"	"1.00920699153965e-05"	1.73472624456403e-05
"TMED7"	"-0.159655849432679"	"1.01383859108379e-05"	1.74208884665102e-05
"HSD17B7"	"-0.148850378004599"	"1.04205738132825e-05"	1.78996257603156e-05
"GPATCH1"	"-0.14064651064728"	"1.07265695429042e-05"	1.84189155007232e-05
"PLEKHM1"	"-0.137177455845861"	"1.10076113874177e-05"	1.88950144680382e-05
"CR1"	"-1.33358839759722"	"1.10661427538742e-05"	1.89889694870939e-05
"CHRM3-AS2"	"-0.993504736367595"	"1.11739123444408e-05"	1.91656537534978e-05
"TNNT1"	"-4.186267651846"	"1.11767716911142e-05"	1.91656537534978e-05
"SDE2"	"0.0947738994148783"	"1.14510787302915e-05"	1.96292994547355e-05
