"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Nhood"	"SpatialFDR"	"finalIdent"	"finalIdent_fraction"
"525"	4.91886164773969	6.49253974341227	25.3203921573308	2.07695832743067e-05	0.022637534507569	525	0.0283687185444419	"CD8 Activated"	0.995412844036697
"1078"	4.647673478201	7.19333365873554	25.2497489099407	2.11875586014506e-05	0.022637534507569	1078	0.0283687185444419	"CD16 Monocytes"	1
"3114"	3.92784800198963	7.23152431738879	24.9444047475534	2.31003585886236e-05	0.022637534507569	3114	0.0283687185444419	"CD16 Monocytes"	1
"6029"	4.38301669590738	7.35706787917541	24.7759038772013	2.423420935101e-05	0.022637534507569	6029	0.0283687185444419	"CD16 Monocytes"	0.990671641791045
"1787"	4.53653171652978	6.82168338214582	24.7525368938965	2.4396083110342e-05	0.022637534507569	1787	0.0283687185444419	"CD16 Monocytes"	0.986187845303867
"2968"	4.29721842334175	7.33089819070607	24.4998807094786	2.62220201685196e-05	0.022637534507569	2968	0.0283687185444419	"CD16 Monocytes"	0.99623352165725
"248"	4.12456167157544	7.50078763529298	24.3229852987648	2.7587053552899e-05	0.022637534507569	248	0.0283687185444419	"CD16 Monocytes"	0.993464052287582
"5769"	4.74528097590463	6.96133171774337	23.9836578402966	3.04226574481405e-05	0.022637534507569	5769	0.0283687185444419	"CD16 Monocytes"	0.997435897435897
"3205"	4.05861348746396	7.1690485919643	23.6217995196695	3.3792969077479e-05	0.022637534507569	3205	0.0283687185444419	"CD16 Monocytes"	0.993548387096774
"373"	4.01213588044218	7.34366108425176	22.8071329440076	4.29311968401007e-05	0.0246940543913323	373	0.0309603079297805	"CD16 Monocytes"	0.996282527881041
"4086"	3.6800483038857	7.24812455258976	22.6444256795	4.50546688181548e-05	0.0246940543913323	4086	0.0309603079297805	"CD16 Monocytes"	1
"2495"	3.34333351709795	6.82401791400324	21.0628852530968	7.15048608890456e-05	0.032081288147212	2495	0.0369330928389135	"Activated B Cells"	0.989189189189189
"5034"	4.253755761645	6.96900297884512	20.9756171787959	7.46294075058872e-05	0.032081288147212	5034	0.0369330928389135	"CD16 Monocytes"	0.997416020671835
"538"	4.80221493130217	7.31157187924384	20.8815620987846	7.68232845913007e-05	0.032081288147212	538	0.0369330928389135	"CD16 Monocytes"	0.996023856858847
"2837"	-6.96426402264087	8.58560274923265	20.6046900648626	8.36913431802663e-05	0.032081288147212	2837	0.0369330928389135	"CD8 Naive"	0.971619365609349
"5386"	3.59282371336744	6.84175201005048	20.4432862478121	8.79957051721815e-05	0.032081288147212	5386	0.0369330928389135	"CD16 Monocytes"	0.991477272727273
"4901"	2.89247206108874	6.43757409518069	19.7503012162909	0.000106043163708784	0.032081288147212	4901	0.0369330928389135	"Mixed"	0.568627450980392
"458"	4.21819841787558	6.40071905576491	19.7486109061351	0.000109415947283453	0.032081288147212	458	0.0369330928389135	"CD8 Activated"	1
"5367"	3.32295593894614	7.20960426445504	19.4434512509322	0.00012053206163077	0.032081288147212	5367	0.0369330928389135	"Activated B Cells"	0.979253112033195
"1261"	3.97433852121293	7.48793793114282	19.2931269002897	0.00012644670745158	0.032081288147212	1261	0.0369330928389135	"CD16 Monocytes"	0.988095238095238
"2885"	3.74412402929097	7.18897882855018	19.117343610513	0.000133759437252047	0.032081288147212	2885	0.0369330928389135	"CD16 Monocytes"	0.987152034261242
"4343"	4.10839659976956	7.20400302723284	18.9601192697251	0.000140684050735986	0.032081288147212	4343	0.0369330928389135	"CD16 Monocytes"	0.987179487179487
"628"	4.07144679291347	6.73465883057003	18.9432002635147	0.000141451756345692	0.032081288147212	628	0.0369330928389135	"CD8 Activated"	0.998069498069498
"5310"	-5.05398960811568	7.20065633123374	18.9414204543437	0.000141532775936912	0.032081288147212	5310	0.0369330928389135	"Mixed"	0.322916666666667
"5379"	-6.40162696856737	8.08218332629824	18.8582766149834	0.000145373496647397	0.032081288147212	5379	0.0369330928389135	"CD8 Naive"	0.978723404255319
"4615"	3.72109718825391	6.74790056310337	18.8440326119981	0.000146042593770114	0.032081288147212	4615	0.0369330928389135	"CD16 Monocytes"	0.990769230769231
"5750"	-4.3041694974752	7.82102389706265	18.7495075592104	0.000150567144616772	0.032081288147212	5750	0.0369330928389135	"Mixed"	0.687192118226601
"3306"	-4.14759265456751	7.67739968789304	18.6670799317328	0.000154635129634129	0.032081288147212	3306	0.0369330928389135	"CD16 NK"	0.815980629539952
"234"	-7.60679944435714	8.24554782114768	18.6218476855231	0.000156917274612895	0.032081288147212	234	0.0369330928389135	"CD8 Naive"	0.965442764578834
"902"	-6.9031490242984	8.52506091502622	18.5688940794326	0.000159634872187155	0.032081288147212	902	0.0369330928389135	"CD8 Naive"	0.973733583489681
"3353"	-7.7983139623701	8.12620698381324	18.4509865530193	0.000165868512429623	0.032258750368974	3353	0.0369330928389135	"CD8 Naive"	0.972027972027972
"2001"	-6.33270966400082	7.66938395491312	18.2394559063184	0.000177714225564372	0.0334824708102374	2001	0.0380825053619296	"Mixed"	0.635258358662614
"1889"	3.75748785361119	7.50662026820528	17.9828602257059	0.000193311786768757	0.0338805034443659	1889	0.0389599937508564	"CD16 Monocytes"	1
"2394"	3.29435888331611	6.9278793173123	17.9316898061836	0.00019659399675948	0.0338805034443659	2394	0.0389599937508564	"CD16 Monocytes"	0.972568578553616
"3895"	-3.94514802987262	7.49114072436964	17.9302744809393	0.000196685622914713	0.0338805034443659	3895	0.0389599937508564	"CD16 NK"	0.826589595375723
