"logFC"	"logCPM"	"F"	"PValue"	"FDR"	"Nhood"	"SpatialFDR"	"finalIdent"	"finalIdent_fraction"
"2964"	-7.55635524305968	8.55618378918779	16.3070412191979	0.0005815994287945	0.236394770978653	2964	0.289060002884784	"CD14 Monocytes"	0.948936170212766
"1427"	-7.95119768391494	8.41460938026918	15.6216088730106	0.000714626446026318	0.236394770978653	1427	0.289060002884784	"CD8 Naive"	0.971291866028708
"1347"	-8.08783645060254	8.51930769196339	15.561048076698	0.000727899360089498	0.236394770978653	1347	0.289060002884784	"CD8 Naive"	0.99546485260771
"306"	-7.32673892562755	8.85243389213852	15.4077471227482	0.000762725200204297	0.236394770978653	306	0.289060002884784	"CD8 Naive"	0.955673758865248
"2122"	3.85131527333834	8.4136814836253	14.7289964236077	0.000940556363949198	0.236394770978653	2122	0.289060002884784	"CD16 Monocytes"	0.993534482758621
"1541"	-6.95369629728061	8.3935181581682	14.6778904067038	0.000955686480380318	0.236394770978653	1541	0.289060002884784	"CD14 Monocytes"	0.997674418604651
"523"	-8.13446080892269	8.68744185716883	14.5357783309837	0.000999184941725778	0.236394770978653	523	0.289060002884784	"CD8 Naive"	0.967611336032389
"749"	-6.05261674995535	8.11832666084355	14.1287029824927	0.00113631389705926	0.236394770978653	749	0.289060002884784	"CD14 Monocytes"	0.997402597402597
"3438"	-7.26261277419782	8.3355142266421	14.1233595012799	0.00113824635954589	0.236394770978653	3438	0.289060002884784	"CD14 Monocytes"	0.995073891625616
"2522"	-4.98011744571463	7.82509375167535	14.0705943948511	0.00115752414232131	0.236394770978653	2522	0.289060002884784	"CD14 Monocytes"	0.901273885350318
"3472"	-5.94333816894092	8.47427188891972	13.7960685841431	0.00126379816848867	0.236394770978653	3472	0.289060002884784	"CD8 Naive"	0.933025404157044
"86"	-6.6847593611324	8.17805770921742	13.7428167754452	0.00128563190406518	0.236394770978653	86	0.289060002884784	"CD14 Monocytes"	0.97275204359673
"712"	-5.19376631586326	8.37089676829604	13.4658498067659	0.00140609658219636	0.236394770978653	712	0.289060002884784	"CD14 Monocytes"	0.727482678983834
"473"	-6.21584138151792	8.26101439636005	13.3864677606773	0.0014428757703072	0.236394770978653	473	0.289060002884784	"CD14 Monocytes"	0.979539641943734
"226"	-7.06726757295331	8.48893056702869	13.3685595476757	0.00145131859267598	0.236394770978653	226	0.289060002884784	"CD14 Monocytes"	0.997844827586207
"1024"	-6.38081251922627	8.49545889274284	13.3401927484975	0.00146480363306415	0.236394770978653	1024	0.289060002884784	"GDT"	0.88953488372093
"1456"	-5.87822116943146	7.99932220956307	13.3287343371932	0.00147028980781336	0.236394770978653	1456	0.289060002884784	"CD14 Monocytes"	0.883522727272727
"1667"	-5.78703370587216	8.61176926079535	13.0527646806396	0.00160950108628688	0.236394770978653	1667	0.289060002884784	"CD14 Monocytes"	0.900562851782364
"1464"	-7.01233250738872	8.21474027959573	12.7936650398746	0.00175350906031263	0.236394770978653	1464	0.289060002884784	"GDT"	0.911111111111111
"1221"	-7.29590159844048	8.31032659874035	12.7649520319207	0.00177032203400144	0.236394770978653	1221	0.289060002884784	"CD14 Monocytes"	0.900990099009901
"1838"	-9.23891440322657	8.44155633777582	13.7875000964236	0.00184626989307991	0.236394770978653	1838	0.289060002884784	"CD8 Naive"	0.97877358490566
"1944"	4.1074338997603	8.46560459538228	12.5984591109241	0.00187138124192553	0.236394770978653	1944	0.289060002884784	"CD16 Monocytes"	1
"2091"	-6.39466211091383	8.17484295759879	12.5468387762633	0.00190399214637829	0.236394770978653	2091	0.289060002884784	"CD14 Monocytes"	1
"2223"	-6.92596387587555	8.66163018162013	12.5436463984387	0.00190602937390476	0.236394770978653	2223	0.289060002884784	"CD8 Naive"	0.973737373737374
"2954"	-6.961788985502	8.60968702615973	12.411605472978	0.00199243280071394	0.236394770978653	2954	0.289060002884784	"CD8 Naive"	0.978858350951374
"120"	-6.71951045247323	8.31511612431983	12.3093373349881	0.00206232104094108	0.236394770978653	120	0.289060002884784	"GDT"	0.895833333333333
"2868"	-6.78571028815861	8.63287309607639	12.2101489421582	0.00213269326325947	0.236394770978653	2868	0.289060002884784	"CD8 Naive"	0.989711934156379
"3370"	-5.81854443919524	8.18295184823603	12.174661490149	0.00215851029062189	0.236394770978653	3370	0.289060002884784	"CD14 Monocytes"	0.731301939058172
"3126"	3.54057846823642	8.3307629980662	12.1382316768229	0.00218537163345046	0.236394770978653	3126	0.289060002884784	"CD16 Monocytes"	0.99749373433584
"177"	-4.91756520274411	8.72634139192033	12.0057303944719	0.00228622297973644	0.236394770978653	177	0.289060002884784	"CD8 Naive"	0.950381679389313
"302"	-5.28877027145149	8.4101715199205	11.9766386813873	0.00230904592559283	0.236394770978653	302	0.289060002884784	"CD14 Monocytes"	0.993775933609959
"2565"	-7.04226873847974	8.24105746419933	11.9506318076978	0.00232966149711886	0.236394770978653	2565	0.289060002884784	"CD8 Naive"	0.966101694915254
"846"	-5.66376239864616	8.13428667319114	11.8974847147711	0.0023724249642707	0.236394770978653	846	0.289060002884784	"CD14 Monocytes"	0.980446927374302
"508"	-5.52600575767681	8.96271171662991	11.8850026107805	0.00238259338603552	0.236394770978653	508	0.289060002884784	"CD8 Naive"	0.937704918032787
"1167"	3.29426714796951	8.32824203560649	11.7721789960722	0.00247671537254824	0.236394770978653	1167	0.289060002884784	"CD16 Monocytes"	0.992788461538462
"632"	-6.00217170483546	8.33203646718989	11.6930682188727	0.00254515612520691	0.236394770978653	632	0.289060002884784	"GDT"	0.929061784897025
