sample	MLH1_expr
tcga_d1_a0zz_01	16.909
tcga_eo_a3kw_01	16.909
tcga_ax_a2h8_01	16.91
tcga_ey_a549_01	16.91
tcga_e6_a1lz_01	16.92
tcga_d1_a169_01	16.949
tcga_ax_a0iw_01	16.953
tcga_ax_a2hf_01	16.956
tcga_ap_a0lf_01	16.957
tcga_ey_a2oq_01	16.969
tcga_ax_a3g7_01	16.986
tcga_ax_a3g3_01	16.987
tcga_ax_a2hk_01	16.991
tcga_ax_a1ci_01	17.007
tcga_bg_a18c_01	17.008
tcga_bs_a0ut_01	17.013
tcga_fi_a2ey_01	17.016
tcga_bg_a0mk_01	17.031
tcga_d1_a17k_01	17.031
tcga_bg_a0m6_01	17.035
tcga_d1_a16s_01	17.038
tcga_2e_a9g8_01	17.042
tcga_d1_a17q_01	17.056
tcga_fl_a1yi_11	17.066
tcga_d1_a162_01	17.079
tcga_ax_a1c8_01	17.083
tcga_fl_a1yf_11	17.104
tcga_eo_a22x_01	17.113
tcga_b5_a1mz_01	17.123
tcga_a5_a1og_01	17.129
tcga_ap_a3k1_01	17.131
tcga_a5_a3lp_01	17.136
tcga_b5_a11g_01	17.14
tcga_ax_a3gi_01	17.147
tcga_ax_a06l_01	17.156
tcga_d1_a167_01	17.156
tcga_ey_a4kr_01	17.157
tcga_ey_a3qx_01	17.16
tcga_aw_a1po_01	17.161
tcga_bs_a0v6_01	17.161
tcga_ec_a1nj_01	17.163
tcga_a5_a2k5_01	17.182
tcga_ap_a05j_01	17.182
tcga_eo_a22y_01	17.188
tcga_bg_a3pp_01	17.19
tcga_eo_a3az_01	17.198
tcga_bg_a0m8_01	17.209
tcga_kp_a3w4_01	17.209
tcga_b5_a1ms_01	17.213
tcga_bk_a0cb_01	17.213
tcga_di_a1by_01	17.215
tcga_ap_a05p_01	17.218
tcga_ey_a214_01	17.218
tcga_sl_a6j9_01	17.22
tcga_ax_a2io_01	17.221
tcga_bg_a0m9_01	17.221
tcga_ax_a062_01	17.222
tcga_b5_a11l_01	17.224
tcga_df_a2l0_01	17.224
tcga_a5_ab3j_01	17.225
tcga_aj_a3bf_01	17.225
tcga_bg_a18a_01	17.23
tcga_a5_a1oj_01	17.233
tcga_fl_a1yt_11	17.241
tcga_aj_a2qk_01	17.25
tcga_ax_a2ha_11	17.253
tcga_ey_a1gp_01	17.253
tcga_ec_a24g_01	17.257
tcga_ju_aavi_01	17.257
tcga_bg_a0vv_01	17.26
tcga_di_a1no_01	17.269
tcga_bs_a0u9_01	17.277
tcga_d1_a1o5_01	17.28
tcga_ax_a3g1_01	17.282
tcga_a5_a0r7_01	17.285
tcga_b5_a0k0_01	17.287
tcga_aj_a3ok_01	17.288
tcga_bg_a0mc_01	17.288
tcga_b5_a0k8_01	17.291
tcga_a5_a0r8_01	17.293
tcga_a5_a0gn_01	17.299
tcga_d1_a17t_01	17.302
tcga_bg_a0mh_01	17.312
tcga_fl_a1ym_11	17.313
tcga_ax_a3gb_01	17.315
tcga_di_a1nn_01	17.317
tcga_bg_a0mu_01	17.318
tcga_b5_a0jn_01	17.32
tcga_bg_a0yv_01	17.322
tcga_df_a2kr_01	17.335
tcga_qs_a5yq_01	17.335
tcga_aj_a3ej_01	17.339
tcga_ap_a0lh_01	17.343
tcga_aj_a3nc_01	17.344
tcga_ax_a2h2_01	17.349
tcga_b5_a0k3_01	17.35
tcga_ax_a1c9_01	17.353
tcga_d1_a161_01	17.361
tcga_d1_a17c_01	17.362
tcga_ax_a0iz_01	17.364
tcga_aj_a23m_01	17.367
tcga_d1_a3jp_01	17.377
tcga_bs_a0uj_01	17.382
tcga_ey_a1gl_01	17.382
tcga_b5_a1mu_01	17.387
tcga_bs_a0wq_01	17.39
tcga_ax_a2h4_01	17.391
tcga_b5_a0k7_01	17.391
tcga_b5_a11q_01	17.395
tcga_eo_a3ku_01	17.395
tcga_d1_a16x_01	17.396
tcga_d1_a16i_01	17.403
tcga_bg_a187_01	17.404
tcga_d1_a2g7_01	17.405
tcga_a5_a0gv_01	17.409
tcga_pg_a915_01	17.413
tcga_b5_a5oe_01	17.414
tcga_eo_a1y7_01	17.417
tcga_ax_a1cn_01	17.418
tcga_a5_a0gq_01	17.42
tcga_bg_a0mo_01	17.424
tcga_e6_a1m0_11	17.424
tcga_ey_a1gd_01	17.424
